datetime,date,doy,time,distance,transect,lai.masked,sel
2016-04-21T06:19:28,2016-04-21,112,6:19:28,50,195,2.85,0.04
2016-04-21T06:21:46,2016-04-21,112,6:21:46,100,195,3.23,0.03
2016-04-21T06:23:42,2016-04-21,112,6:23:42,150,195,2.82,0.04
2016-04-21T06:25:24,2016-04-21,112,6:25:24,200,195,3.23,0.11
2016-04-21T06:29:06,2016-04-21,112,6:29:06,200,225,3.24,0.03
2016-04-21T06:31:04,2016-04-21,112,6:31:04,150,225,3.14,0.07
2016-04-21T06:32:46,2016-04-21,112,6:32:46,100,225,3.01,0.08
2016-04-21T06:34:49,2016-04-21,112,6:34:49,50,225,2.86,0.01
2016-04-21T06:36:44,2016-04-21,112,6:36:44,50,255,2.65,0.04
2016-04-21T06:38:22,2016-04-21,112,6:38:22,100,255,3.33,0.11
2016-04-21T06:40:09,2016-04-21,112,6:40:09,150,255,3.51,0.04
2016-04-21T06:41:31,2016-04-21,112,6:41:31,160,255,3.14,0.17
2016-08-31T13:18:35,2016-08-31,244,13:18:35,50,195,3.88,0.04
2016-08-31T13:20:53,2016-08-31,244,13:20:53,100,195,4.07,0.05
2016-08-31T13:23:02,2016-08-31,244,13:23:02,150,195,3.96,0.12
2016-08-31T13:25:22,2016-08-31,244,13:25:22,200,195,4.82,0.08
2016-08-31T13:28:44,2016-08-31,244,13:28:44,200,225,3.81,0.05
2016-08-31T13:30:36,2016-08-31,244,13:30:36,150,225,3.79,0.04
2016-08-31T13:32:27,2016-08-31,244,13:32:27,100,225,4.07,0.07
2016-08-31T13:34:17,2016-08-31,244,13:34:17,50,225,3.58,0.03
2016-08-31T13:35:44,2016-08-31,244,13:35:44,50,255,3.7,0.12
2016-08-31T13:37:32,2016-08-31,244,13:37:32,100,255,4.46,0.07
2016-08-31T13:39:27,2016-08-31,244,13:39:27,150,255,5.29,0.08
2016-08-31T13:40:26,2016-08-31,244,13:40:26,160,255,4.87,0.12
2017-04-05T08:09:48,2017-04-05,95,8:09:48,50,195,2.63,0.05
2017-04-05T08:12:29,2017-04-05,95,8:12:29,100,195,3.06,0.03
2017-04-05T08:14:02,2017-04-05,95,8:14:02,150,195,2.57,0.03
2017-04-05T08:15:52,2017-04-05,95,8:15:52,200,195,2.92,0.11
2017-04-05T08:18:42,2017-04-05,95,8:18:42,200,225,3,0.05
2017-04-05T08:21:59,2017-04-05,95,8:21:59,150,225,2.82,0.05
2017-04-05T08:24:34,2017-04-05,95,8:24:34,100,225,2.47,0.06
2017-04-05T08:27:15,2017-04-05,95,8:27:15,50,225,2.64,0.01
2017-04-05T08:29:24,2017-04-05,95,8:29:24,50,255,2.53,0.05
2017-04-05T08:31:50,2017-04-05,95,8:31:50,100,255,2.69,0.03
2017-04-05T08:37:47,2017-04-05,95,8:37:47,150,255,3.35,0.04
2017-04-05T08:35:25,2017-04-05,95,8:35:25,160,255,2.96,0.14
2017-08-11T06:22:06,2017-08-11,223,6:22:06,50,195,4.19,0.03
2017-08-11T06:25:55,2017-08-11,223,6:25:55,100,195,4.44,0.04
2017-08-11T06:28:13,2017-08-11,223,6:28:13,150,195,4.04,0.08
2017-08-11T06:30:25,2017-08-11,223,6:30:25,200,195,5.05,0.09
2017-08-11T06:34:46,2017-08-11,223,6:34:46,200,225,3.75,0.06
2017-08-11T06:37:11,2017-08-11,223,6:37:11,150,225,4.2,0.06
2017-08-11T06:39:20,2017-08-11,223,6:39:20,100,225,4.14,0.14
2017-08-11T06:41:44,2017-08-11,223,6:41:44,50,225,3.77,0.03
2017-08-11T06:43:37,2017-08-11,223,6:43:37,50,255,3.88,0.11
2017-08-11T06:46:04,2017-08-11,223,6:46:04,100,255,4.67,0.11
2017-08-11T06:48:16,2017-08-11,223,6:48:16,150,255,5.47,0.06
2017-08-11T06:49:42,2017-08-11,223,6:49:42,160,255,5.28,0.12
